// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\fcc885da-714b-4854-9535-b128a9213d76
// command took 1,53s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\fcc885da-714b-4854-9535-b128a9213d76
// command took 2,33s and exited with 0
// ***** Done, took 00:00:03 (3.97 sec)   *****
// Found 2 benchmarks:
//   BenchmarkAutoMapper.MapWIthJitex: DefaultJob
//   BenchmarkAutoMapper.MapWithoutJitex: DefaultJob

// **************************
// Benchmark: BenchmarkAutoMapper.MapWIthJitex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fcc885da-714b-4854-9535-b128a9213d76.dll" --benchmarkName "AutoMapper.Example.BenchmarkAutoMapper.MapWIthJitex" --job "Default" --benchmarkId 0 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\fcc885da-714b-4854-9535-b128a9213d76\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual   6: 67108864 op, 717193500.00 ns, 10.6870 ns/op
WorkloadActual   7: 67108864 op, 710963600.00 ns, 10.5942 ns/op
WorkloadActual   8: 67108864 op, 715411400.00 ns, 10.6605 ns/op
WorkloadActual   9: 67108864 op, 714279300.00 ns, 10.6436 ns/op
WorkloadActual  10: 67108864 op, 713356300.00 ns, 10.6298 ns/op
WorkloadActual  11: 67108864 op, 715285100.00 ns, 10.6586 ns/op
WorkloadActual  12: 67108864 op, 715120900.00 ns, 10.6561 ns/op
WorkloadActual  13: 67108864 op, 722221400.00 ns, 10.7619 ns/op
WorkloadActual  14: 67108864 op, 718416800.00 ns, 10.7052 ns/op
WorkloadActual  15: 67108864 op, 719661800.00 ns, 10.7238 ns/op

// AfterActualRun
WorkloadResult   1: 67108864 op, 483331800.00 ns, 7.2022 ns/op
WorkloadResult   2: 67108864 op, 490791500.00 ns, 7.3134 ns/op
WorkloadResult   3: 67108864 op, 474119200.00 ns, 7.0649 ns/op
WorkloadResult   4: 67108864 op, 495041100.00 ns, 7.3767 ns/op
WorkloadResult   5: 67108864 op, 486439800.00 ns, 7.2485 ns/op
WorkloadResult   6: 67108864 op, 486384000.00 ns, 7.2477 ns/op
WorkloadResult   7: 67108864 op, 480154100.00 ns, 7.1549 ns/op
WorkloadResult   8: 67108864 op, 484601900.00 ns, 7.2211 ns/op
WorkloadResult   9: 67108864 op, 483469800.00 ns, 7.2043 ns/op
WorkloadResult  10: 67108864 op, 482546800.00 ns, 7.1905 ns/op
WorkloadResult  11: 67108864 op, 484475600.00 ns, 7.2192 ns/op
WorkloadResult  12: 67108864 op, 484311400.00 ns, 7.2168 ns/op
WorkloadResult  13: 67108864 op, 491411900.00 ns, 7.3226 ns/op
WorkloadResult  14: 67108864 op, 487607300.00 ns, 7.2659 ns/op
WorkloadResult  15: 67108864 op, 488852300.00 ns, 7.2845 ns/op

// AfterAll
// Benchmark Process 41452 has exited with code 0

Mean = 7.236 ns, StdErr = 0.019 ns (0.27%), N = 15, StdDev = 0.075 ns
Min = 7.065 ns, Q1 = 7.203 ns, Median = 7.221 ns, Q3 = 7.275 ns, Max = 7.377 ns
IQR = 0.072 ns, LowerFence = 7.095 ns, UpperFence = 7.383 ns
ConfidenceInterval = [7.156 ns; 7.315 ns] (CI 99.9%), Margin = 0.080 ns (1.10% of Mean)
Skewness = -0.25, Kurtosis = 3.01, MValue = 2

// **************************
// Benchmark: BenchmarkAutoMapper.MapWithoutJitex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fcc885da-714b-4854-9535-b128a9213d76.dll" --benchmarkName "AutoMapper.Example.BenchmarkAutoMapper.MapWithoutJitex" --job "Default" --benchmarkId 1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\fcc885da-714b-4854-9535-b128a9213d76\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 369300.00 ns, 369.3000 us/op
WorkloadJitting  1: 1 op, 23506900.00 ns, 23.5069 ms/op

OverheadJitting  2: 16 op, 732000.00 ns, 45.7500 us/op
WorkloadJitting  2: 16 op, 1207000.00 ns, 75.4375 us/op

WorkloadPilot    1: 16 op, 8500.00 ns, 531.2500 ns/op
WorkloadPilot    2: 32 op, 11700.00 ns, 365.6250 ns/op
WorkloadPilot    3: 64 op, 19200.00 ns, 300.0000 ns/op
WorkloadPilot    4: 128 op, 35200.00 ns, 275.0000 ns/op
WorkloadPilot    5: 256 op, 68300.00 ns, 266.7969 ns/op
WorkloadPilot    6: 512 op, 133000.00 ns, 259.7656 ns/op
WorkloadPilot    7: 1024 op, 266600.00 ns, 260.3516 ns/op
WorkloadPilot    8: 2048 op, 616200.00 ns, 300.8789 ns/op
WorkloadPilot    9: 4096 op, 1139700.00 ns, 278.2471 ns/op
WorkloadPilot   10: 8192 op, 2191500.00 ns, 267.5171 ns/op
WorkloadPilot   11: 16384 op, 4410500.00 ns, 269.1956 ns/op
WorkloadPilot   12: 32768 op, 10066600.00 ns, 307.2083 ns/op
WorkloadPilot   13: 65536 op, 17797300.00 ns, 271.5652 ns/op
WorkloadPilot   14: 131072 op, 36949900.00 ns, 281.9054 ns/op
WorkloadPilot   15: 262144 op, 70648000.00 ns, 269.5007 ns/op
WorkloadPilot   16: 524288 op, 63829900.00 ns, 121.7459 ns/op
WorkloadPilot   17: 1048576 op, 117418100.00 ns, 111.9786 ns/op
WorkloadPilot   18: 2097152 op, 232721400.00 ns, 110.9702 ns/op
WorkloadPilot   19: 4194304 op, 466711500.00 ns, 111.2727 ns/op
WorkloadPilot   20: 8388608 op, 933914600.00 ns, 111.3313 ns/op

OverheadWarmup   1: 8388608 op, 28727300.00 ns, 3.4246 ns/op
OverheadWarmup   2: 8388608 op, 29077300.00 ns, 3.4663 ns/op
OverheadWarmup   3: 8388608 op, 28728900.00 ns, 3.4248 ns/op
OverheadWarmup   4: 8388608 op, 29016000.00 ns, 3.4590 ns/op
OverheadWarmup   5: 8388608 op, 28887600.00 ns, 3.4437 ns/op

OverheadActual   1: 8388608 op, 28899300.00 ns, 3.4451 ns/op
OverheadActual   2: 8388608 op, 28814700.00 ns, 3.4350 ns/op
OverheadActual   3: 8388608 op, 29191900.00 ns, 3.4799 ns/op
OverheadActual   4: 8388608 op, 29200500.00 ns, 3.4810 ns/op
OverheadActual   5: 8388608 op, 28960700.00 ns, 3.4524 ns/op
OverheadActual   6: 8388608 op, 28319000.00 ns, 3.3759 ns/op
OverheadActual   7: 8388608 op, 28527800.00 ns, 3.4008 ns/op
OverheadActual   8: 8388608 op, 28376200.00 ns, 3.3827 ns/op
OverheadActual   9: 8388608 op, 28964800.00 ns, 3.4529 ns/op
OverheadActual  10: 8388608 op, 29074000.00 ns, 3.4659 ns/op
OverheadActual  11: 8388608 op, 28718400.00 ns, 3.4235 ns/op
OverheadActual  12: 8388608 op, 29029300.00 ns, 3.4606 ns/op
OverheadActual  13: 8388608 op, 28614400.00 ns, 3.4111 ns/op
OverheadActual  14: 8388608 op, 28952800.00 ns, 3.4514 ns/op
OverheadActual  15: 8388608 op, 28856900.00 ns, 3.4400 ns/op

WorkloadWarmup   1: 8388608 op, 928950700.00 ns, 110.7396 ns/op
WorkloadWarmup   2: 8388608 op, 936132300.00 ns, 111.5957 ns/op
WorkloadWarmup   3: 8388608 op, 947970100.00 ns, 113.0068 ns/op
WorkloadWarmup   4: 8388608 op, 939065900.00 ns, 111.9454 ns/op
WorkloadWarmup   5: 8388608 op, 926167700.00 ns, 110.4078 ns/op
WorkloadWarmup   6: 8388608 op, 926081100.00 ns, 110.3975 ns/op
WorkloadWarmup   7: 8388608 op, 942243200.00 ns, 112.3241 ns/op
WorkloadWarmup   8: 8388608 op, 951595700.00 ns, 113.4390 ns/op
WorkloadWarmup   9: 8388608 op, 953746200.00 ns, 113.6954 ns/op
WorkloadWarmup  10: 8388608 op, 953890900.00 ns, 113.7127 ns/op
WorkloadWarmup  11: 8388608 op, 957131000.00 ns, 114.0989 ns/op
WorkloadWarmup  12: 8388608 op, 955156300.00 ns, 113.8635 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 935505800.00 ns, 111.5210 ns/op
WorkloadActual   2: 8388608 op, 934935100.00 ns, 111.4529 ns/op
WorkloadActual   3: 8388608 op, 935874900.00 ns, 111.5650 ns/op
WorkloadActual   4: 8388608 op, 935404500.00 ns, 111.5089 ns/op
WorkloadActual   5: 8388608 op, 938128200.00 ns, 111.8336 ns/op
WorkloadActual   6: 8388608 op, 921939200.00 ns, 109.9037 ns/op
WorkloadActual   7: 8388608 op, 958479000.00 ns, 114.2596 ns/op
WorkloadActual   8: 8388608 op, 956142900.00 ns, 113.9811 ns/op
WorkloadActual   9: 8388608 op, 954897700.00 ns, 113.8327 ns/op
WorkloadActual  10: 8388608 op, 958825800.00 ns, 114.3009 ns/op
WorkloadActual  11: 8388608 op, 954456200.00 ns, 113.7800 ns/op
WorkloadActual  12: 8388608 op, 956943500.00 ns, 114.0766 ns/op
WorkloadActual  13: 8388608 op, 951028200.00 ns, 113.3714 ns/op
WorkloadActual  14: 8388608 op, 955377500.00 ns, 113.8899 ns/op
WorkloadActual  15: 8388608 op, 954480200.00 ns, 113.7829 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 906606500.00 ns, 108.0759 ns/op
WorkloadResult   2: 8388608 op, 906035800.00 ns, 108.0079 ns/op
WorkloadResult   3: 8388608 op, 906975600.00 ns, 108.1199 ns/op
WorkloadResult   4: 8388608 op, 906505200.00 ns, 108.0638 ns/op
WorkloadResult   5: 8388608 op, 909228900.00 ns, 108.3885 ns/op
WorkloadResult   6: 8388608 op, 893039900.00 ns, 106.4587 ns/op
WorkloadResult   7: 8388608 op, 929579700.00 ns, 110.8145 ns/op
WorkloadResult   8: 8388608 op, 927243600.00 ns, 110.5361 ns/op
WorkloadResult   9: 8388608 op, 925998400.00 ns, 110.3876 ns/op
WorkloadResult  10: 8388608 op, 929926500.00 ns, 110.8559 ns/op
WorkloadResult  11: 8388608 op, 925556900.00 ns, 110.3350 ns/op
WorkloadResult  12: 8388608 op, 928044200.00 ns, 110.6315 ns/op
WorkloadResult  13: 8388608 op, 922128900.00 ns, 109.9263 ns/op
WorkloadResult  14: 8388608 op, 926478200.00 ns, 110.4448 ns/op
WorkloadResult  15: 8388608 op, 925580900.00 ns, 110.3378 ns/op

// AfterAll
// Benchmark Process 30164 has exited with code 0

Mean = 109.426 ns, StdErr = 0.364 ns (0.33%), N = 15, StdDev = 1.409 ns
Min = 106.459 ns, Q1 = 108.098 ns, Median = 110.335 ns, Q3 = 110.490 ns, Max = 110.856 ns
IQR = 2.393 ns, LowerFence = 104.509 ns, UpperFence = 114.079 ns
ConfidenceInterval = [107.919 ns; 110.932 ns] (CI 99.9%), Margin = 1.507 ns (1.38% of Mean)
Skewness = -0.59, Kurtosis = 1.81, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\AutoMapper.Example.BenchmarkAutoMapper-report.csv
  BenchmarkDotNet.Artifacts\results\AutoMapper.Example.BenchmarkAutoMapper-report-github.md
  BenchmarkDotNet.Artifacts\results\AutoMapper.Example.BenchmarkAutoMapper-report.html

// * Detailed results *
BenchmarkAutoMapper.MapWIthJitex: DefaultJob
Runtime = .NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT; GC = Concurrent Workstation
Mean = 7.236 ns, StdErr = 0.019 ns (0.27%), N = 15, StdDev = 0.075 ns
Min = 7.065 ns, Q1 = 7.203 ns, Median = 7.221 ns, Q3 = 7.275 ns, Max = 7.377 ns
IQR = 0.072 ns, LowerFence = 7.095 ns, UpperFence = 7.383 ns
ConfidenceInterval = [7.156 ns; 7.315 ns] (CI 99.9%), Margin = 0.080 ns (1.10% of Mean)
Skewness = -0.25, Kurtosis = 3.01, MValue = 2
-------------------- Histogram --------------------
[7.025 ns ; 7.416 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

BenchmarkAutoMapper.MapWithoutJitex: DefaultJob
Runtime = .NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT; GC = Concurrent Workstation
Mean = 109.426 ns, StdErr = 0.364 ns (0.33%), N = 15, StdDev = 1.409 ns
Min = 106.459 ns, Q1 = 108.098 ns, Median = 110.335 ns, Q3 = 110.490 ns, Max = 110.856 ns
IQR = 2.393 ns, LowerFence = 104.509 ns, UpperFence = 114.079 ns
ConfidenceInterval = [107.919 ns; 110.932 ns] (CI 99.9%), Margin = 1.507 ns (1.38% of Mean)
Skewness = -0.59, Kurtosis = 1.81, MValue = 2
-------------------- Histogram --------------------
[105.709 ns ; 109.287 ns) | @@@@@@
[109.287 ns ; 111.606 ns) | @@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.18363.778 (1909/November2018Update/19H2)
Intel Core i5-7600 CPU 3.50GHz (Kaby Lake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.201
  [Host]     : .NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT
  DefaultJob : .NET Core 3.1.3 (CoreCLR 4.700.20.11803, CoreFX 4.700.20.12001), X64 RyuJIT


|          Method |       Mean |     Error |    StdDev |
|---------------- |-----------:|----------:|----------:|
|    MapWIthJitex |   7.236 ns | 0.0797 ns | 0.0745 ns |
| MapWithoutJitex | 109.426 ns | 1.5066 ns | 1.4093 ns |

// * Hints *
Outliers
  BenchmarkAutoMapper.MapWIthJitex: Default -> 1 outlier  was  detected (10.50 ns)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:51 (51.31 sec), executed benchmarks: 2

Global total time: 00:00:55 (55.28 sec), executed benchmarks: 2
// * Artifacts cleanup *
