// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\d99558fd-65ca-4e66-883b-91a0da60bdb0
// command took 2,01s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\d99558fd-65ca-4e66-883b-91a0da60bdb0
// command took 2,33s and exited with 0
// ***** Done, took 00:00:04 (4.45 sec)   *****
// Found 2 benchmarks:
//   BenchmarkAutoMapper.MapWithJitex: DefaultJob
//   BenchmarkAutoMapper.MapWithoutJitex: DefaultJob

// **************************
// Benchmark: BenchmarkAutoMapper.MapWithJitex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d99558fd-65ca-4e66-883b-91a0da60bdb0.dll" --benchmarkName "AutoMapper.Example.BenchmarkAutoMapper.MapWithJitex" --job "Default" --benchmarkId 0 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\d99558fd-65ca-4e66-883b-91a0da60bdb0\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.5 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.27001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadPilot   22: 2048 op, 52400.00 ns, 25.5859 ns/op
WorkloadPilot   23: 4096 op, 104900.00 ns, 25.6104 ns/op
WorkloadPilot   24: 8192 op, 276700.00 ns, 33.7769 ns/op
WorkloadPilot   25: 16384 op, 450100.00 ns, 27.4719 ns/op
WorkloadPilot   26: 32768 op, 999600.00 ns, 30.5054 ns/op
WorkloadPilot   27: 65536 op, 2025700.00 ns, 30.9097 ns/op
WorkloadPilot   28: 131072 op, 3668100.00 ns, 27.9854 ns/op
WorkloadPilot   29: 262144 op, 7173900.00 ns, 27.3663 ns/op
WorkloadPilot   30: 524288 op, 13879600.00 ns, 26.4732 ns/op
WorkloadPilot   31: 1048576 op, 27226700.00 ns, 25.9654 ns/op
WorkloadPilot   32: 2097152 op, 53039000.00 ns, 25.2910 ns/op
WorkloadPilot   33: 4194304 op, 73951200.00 ns, 17.6313 ns/op
WorkloadPilot   34: 8388608 op, 95656700.00 ns, 11.4032 ns/op
WorkloadPilot   35: 16777216 op, 199176400.00 ns, 11.8718 ns/op
WorkloadPilot   36: 33554432 op, 383525200.00 ns, 11.4299 ns/op
WorkloadPilot   37: 67108864 op, 751131400.00 ns, 11.1927 ns/op

WorkloadWarmup   1: 67108864 op, 737851500.00 ns, 10.9948 ns/op
WorkloadWarmup   2: 67108864 op, 758623300.00 ns, 11.3044 ns/op
WorkloadWarmup   3: 67108864 op, 746755900.00 ns, 11.1275 ns/op
WorkloadWarmup   4: 67108864 op, 735371000.00 ns, 10.9579 ns/op
WorkloadWarmup   5: 67108864 op, 774726700.00 ns, 11.5443 ns/op
WorkloadWarmup   6: 67108864 op, 745058100.00 ns, 11.1022 ns/op

// BeforeActualRun
WorkloadActual   1: 67108864 op, 744936700.00 ns, 11.1004 ns/op
WorkloadActual   2: 67108864 op, 742896300.00 ns, 11.0700 ns/op
WorkloadActual   3: 67108864 op, 749795600.00 ns, 11.1728 ns/op
WorkloadActual   4: 67108864 op, 752376800.00 ns, 11.2113 ns/op
WorkloadActual   5: 67108864 op, 743021500.00 ns, 11.0719 ns/op
WorkloadActual   6: 67108864 op, 733720800.00 ns, 10.9333 ns/op
WorkloadActual   7: 67108864 op, 731995700.00 ns, 10.9076 ns/op
WorkloadActual   8: 67108864 op, 743839400.00 ns, 11.0841 ns/op
WorkloadActual   9: 67108864 op, 742422100.00 ns, 11.0630 ns/op
WorkloadActual  10: 67108864 op, 742124200.00 ns, 11.0585 ns/op
WorkloadActual  11: 67108864 op, 732895900.00 ns, 10.9210 ns/op
WorkloadActual  12: 67108864 op, 747693300.00 ns, 11.1415 ns/op
WorkloadActual  13: 67108864 op, 747510500.00 ns, 11.1388 ns/op
WorkloadActual  14: 67108864 op, 744561800.00 ns, 11.0948 ns/op
WorkloadActual  15: 67108864 op, 742115800.00 ns, 11.0584 ns/op

// AfterActualRun
WorkloadResult   1: 67108864 op, 744936700.00 ns, 11.1004 ns/op
WorkloadResult   2: 67108864 op, 742896300.00 ns, 11.0700 ns/op
WorkloadResult   3: 67108864 op, 749795600.00 ns, 11.1728 ns/op
WorkloadResult   4: 67108864 op, 752376800.00 ns, 11.2113 ns/op
WorkloadResult   5: 67108864 op, 743021500.00 ns, 11.0719 ns/op
WorkloadResult   6: 67108864 op, 733720800.00 ns, 10.9333 ns/op
WorkloadResult   7: 67108864 op, 731995700.00 ns, 10.9076 ns/op
WorkloadResult   8: 67108864 op, 743839400.00 ns, 11.0841 ns/op
WorkloadResult   9: 67108864 op, 742422100.00 ns, 11.0630 ns/op
WorkloadResult  10: 67108864 op, 742124200.00 ns, 11.0585 ns/op
WorkloadResult  11: 67108864 op, 732895900.00 ns, 10.9210 ns/op
WorkloadResult  12: 67108864 op, 747693300.00 ns, 11.1415 ns/op
WorkloadResult  13: 67108864 op, 747510500.00 ns, 11.1388 ns/op
WorkloadResult  14: 67108864 op, 744561800.00 ns, 11.0948 ns/op
WorkloadResult  15: 67108864 op, 742115800.00 ns, 11.0584 ns/op

// AfterAll
// Benchmark Process 31640 has exited with code 0

Mean = 11.068 ns, StdErr = 0.023 ns (0.21%), N = 15, StdDev = 0.089 ns
Min = 10.908 ns, Q1 = 11.058 ns, Median = 11.072 ns, Q3 = 11.120 ns, Max = 11.211 ns
IQR = 0.061 ns, LowerFence = 10.967 ns, UpperFence = 11.211 ns
ConfidenceInterval = [10.974 ns; 11.163 ns] (CI 99.9%), Margin = 0.095 ns (0.85% of Mean)
Skewness = -0.48, Kurtosis = 2.24, MValue = 2

// **************************
// Benchmark: BenchmarkAutoMapper.MapWithoutJitex: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d99558fd-65ca-4e66-883b-91a0da60bdb0.dll" --benchmarkName "AutoMapper.Example.BenchmarkAutoMapper.MapWithoutJitex" --job "Default" --benchmarkId 1 in C:\Users\hitmasu\source\repos\AutoMapper.Patcher\AutoMapper.Example\bin\Release\netcoreapp3.1\d99558fd-65ca-4e66-883b-91a0da60bdb0\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.5 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.27001), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 350400.00 ns, 350.4000 us/op
WorkloadJitting  1: 1 op, 25641600.00 ns, 25.6416 ms/op

OverheadJitting  2: 16 op, 591900.00 ns, 36.9937 us/op
WorkloadJitting  2: 16 op, 872100.00 ns, 54.5063 us/op

WorkloadPilot    1: 16 op, 7900.00 ns, 493.7500 ns/op
WorkloadPilot    2: 32 op, 11000.00 ns, 343.7500 ns/op
WorkloadPilot    3: 64 op, 23300.00 ns, 364.0625 ns/op
WorkloadPilot    4: 128 op, 49300.00 ns, 385.1562 ns/op
WorkloadPilot    5: 256 op, 114500.00 ns, 447.2656 ns/op
WorkloadPilot    6: 512 op, 131600.00 ns, 257.0312 ns/op
WorkloadPilot    7: 1024 op, 261100.00 ns, 254.9805 ns/op
WorkloadPilot    8: 2048 op, 508600.00 ns, 248.3398 ns/op
WorkloadPilot    9: 4096 op, 1020600.00 ns, 249.1699 ns/op
WorkloadPilot   10: 8192 op, 2271300.00 ns, 277.2583 ns/op
WorkloadPilot   11: 16384 op, 4347300.00 ns, 265.3381 ns/op
WorkloadPilot   12: 32768 op, 8932200.00 ns, 272.5891 ns/op
WorkloadPilot   13: 65536 op, 17350300.00 ns, 264.7446 ns/op
WorkloadPilot   14: 131072 op, 34384700.00 ns, 262.3344 ns/op
WorkloadPilot   15: 262144 op, 67944300.00 ns, 259.1869 ns/op
WorkloadPilot   16: 524288 op, 63500500.00 ns, 121.1176 ns/op
WorkloadPilot   17: 1048576 op, 118158600.00 ns, 112.6848 ns/op
WorkloadPilot   18: 2097152 op, 232995100.00 ns, 111.1007 ns/op
WorkloadPilot   19: 4194304 op, 456239000.00 ns, 108.7759 ns/op
WorkloadPilot   20: 8388608 op, 923644800.00 ns, 110.1070 ns/op

OverheadWarmup   1: 8388608 op, 31862200.00 ns, 3.7983 ns/op
OverheadWarmup   2: 8388608 op, 31773500.00 ns, 3.7877 ns/op
OverheadWarmup   3: 8388608 op, 32304000.00 ns, 3.8509 ns/op
OverheadWarmup   4: 8388608 op, 31342200.00 ns, 3.7363 ns/op
OverheadWarmup   5: 8388608 op, 31861200.00 ns, 3.7982 ns/op
OverheadWarmup   6: 8388608 op, 31624000.00 ns, 3.7699 ns/op

OverheadActual   1: 8388608 op, 31719900.00 ns, 3.7813 ns/op
OverheadActual   2: 8388608 op, 31948900.00 ns, 3.8086 ns/op
OverheadActual   3: 8388608 op, 31833600.00 ns, 3.7949 ns/op
OverheadActual   4: 8388608 op, 32246800.00 ns, 3.8441 ns/op
OverheadActual   5: 8388608 op, 32452800.00 ns, 3.8687 ns/op
OverheadActual   6: 8388608 op, 32386400.00 ns, 3.8608 ns/op
OverheadActual   7: 8388608 op, 31898700.00 ns, 3.8026 ns/op
OverheadActual   8: 8388608 op, 32584800.00 ns, 3.8844 ns/op
OverheadActual   9: 8388608 op, 31590700.00 ns, 3.7659 ns/op
OverheadActual  10: 8388608 op, 31592000.00 ns, 3.7661 ns/op
OverheadActual  11: 8388608 op, 31811500.00 ns, 3.7922 ns/op
OverheadActual  12: 8388608 op, 31684500.00 ns, 3.7771 ns/op
OverheadActual  13: 8388608 op, 32342300.00 ns, 3.8555 ns/op
OverheadActual  14: 8388608 op, 32053600.00 ns, 3.8211 ns/op
OverheadActual  15: 8388608 op, 31750200.00 ns, 3.7849 ns/op

WorkloadWarmup   1: 8388608 op, 926635500.00 ns, 110.4636 ns/op
WorkloadWarmup   2: 8388608 op, 951533100.00 ns, 113.4316 ns/op
WorkloadWarmup   3: 8388608 op, 954147600.00 ns, 113.7433 ns/op
WorkloadWarmup   4: 8388608 op, 961563000.00 ns, 114.6272 ns/op
WorkloadWarmup   5: 8388608 op, 915977600.00 ns, 109.1930 ns/op
WorkloadWarmup   6: 8388608 op, 920049000.00 ns, 109.6784 ns/op
WorkloadWarmup   7: 8388608 op, 913972500.00 ns, 108.9540 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 914656400.00 ns, 109.0355 ns/op
WorkloadActual   2: 8388608 op, 920859700.00 ns, 109.7750 ns/op
WorkloadActual   3: 8388608 op, 926249000.00 ns, 110.4175 ns/op
WorkloadActual   4: 8388608 op, 919715000.00 ns, 109.6386 ns/op
WorkloadActual   5: 8388608 op, 920522000.00 ns, 109.7348 ns/op
WorkloadActual   6: 8388608 op, 919258500.00 ns, 109.5842 ns/op
WorkloadActual   7: 8388608 op, 918786900.00 ns, 109.5279 ns/op
WorkloadActual   8: 8388608 op, 916929000.00 ns, 109.3065 ns/op
WorkloadActual   9: 8388608 op, 930062000.00 ns, 110.8720 ns/op
WorkloadActual  10: 8388608 op, 921382500.00 ns, 109.8374 ns/op
WorkloadActual  11: 8388608 op, 914536300.00 ns, 109.0212 ns/op
WorkloadActual  12: 8388608 op, 914439700.00 ns, 109.0097 ns/op
WorkloadActual  13: 8388608 op, 917250500.00 ns, 109.3448 ns/op
WorkloadActual  14: 8388608 op, 918108400.00 ns, 109.4471 ns/op
WorkloadActual  15: 8388608 op, 918685600.00 ns, 109.5159 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 882757700.00 ns, 105.2329 ns/op
WorkloadResult   2: 8388608 op, 888961000.00 ns, 105.9724 ns/op
WorkloadResult   3: 8388608 op, 887816300.00 ns, 105.8360 ns/op
WorkloadResult   4: 8388608 op, 888623300.00 ns, 105.9322 ns/op
WorkloadResult   5: 8388608 op, 887359800.00 ns, 105.7815 ns/op
WorkloadResult   6: 8388608 op, 886888200.00 ns, 105.7253 ns/op
WorkloadResult   7: 8388608 op, 885030300.00 ns, 105.5038 ns/op
WorkloadResult   8: 8388608 op, 889483800.00 ns, 106.0347 ns/op
WorkloadResult   9: 8388608 op, 882637600.00 ns, 105.2186 ns/op
WorkloadResult  10: 8388608 op, 882541000.00 ns, 105.2071 ns/op
WorkloadResult  11: 8388608 op, 885351800.00 ns, 105.5422 ns/op
WorkloadResult  12: 8388608 op, 886209700.00 ns, 105.6444 ns/op
WorkloadResult  13: 8388608 op, 886786900.00 ns, 105.7132 ns/op

// AfterAll
// Benchmark Process 15548 has exited with code 0

Mean = 105.642 ns, StdErr = 0.079 ns (0.08%), N = 13, StdDev = 0.286 ns
Min = 105.207 ns, Q1 = 105.504 ns, Median = 105.713 ns, Q3 = 105.836 ns, Max = 106.035 ns
IQR = 0.332 ns, LowerFence = 105.006 ns, UpperFence = 106.334 ns
ConfidenceInterval = [105.299 ns; 105.984 ns] (CI 99.9%), Margin = 0.342 ns (0.32% of Mean)
Skewness = -0.32, Kurtosis = 1.62, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\AutoMapper.Example.BenchmarkAutoMapper-report.csv
  BenchmarkDotNet.Artifacts\results\AutoMapper.Example.BenchmarkAutoMapper-report-github.md
  BenchmarkDotNet.Artifacts\results\AutoMapper.Example.BenchmarkAutoMapper-report.html

// * Detailed results *
BenchmarkAutoMapper.MapWithJitex: DefaultJob
Runtime = .NET Core 3.1.5 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.27001), X64 RyuJIT; GC = Concurrent Workstation
Mean = 11.068 ns, StdErr = 0.023 ns (0.21%), N = 15, StdDev = 0.089 ns
Min = 10.908 ns, Q1 = 11.058 ns, Median = 11.072 ns, Q3 = 11.120 ns, Max = 11.211 ns
IQR = 0.061 ns, LowerFence = 10.967 ns, UpperFence = 11.211 ns
ConfidenceInterval = [10.974 ns; 11.163 ns] (CI 99.9%), Margin = 0.095 ns (0.85% of Mean)
Skewness = -0.48, Kurtosis = 2.24, MValue = 2
-------------------- Histogram --------------------
[10.860 ns ; 11.258 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

BenchmarkAutoMapper.MapWithoutJitex: DefaultJob
Runtime = .NET Core 3.1.5 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.27001), X64 RyuJIT; GC = Concurrent Workstation
Mean = 105.642 ns, StdErr = 0.079 ns (0.08%), N = 13, StdDev = 0.286 ns
Min = 105.207 ns, Q1 = 105.504 ns, Median = 105.713 ns, Q3 = 105.836 ns, Max = 106.035 ns
IQR = 0.332 ns, LowerFence = 105.006 ns, UpperFence = 106.334 ns
ConfidenceInterval = [105.299 ns; 105.984 ns] (CI 99.9%), Margin = 0.342 ns (0.32% of Mean)
Skewness = -0.32, Kurtosis = 1.62, MValue = 2
-------------------- Histogram --------------------
[105.047 ns ; 106.194 ns) | @@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.18363.900 (1909/November2018Update/19H2)
Intel Core i5-7600 CPU 3.50GHz (Kaby Lake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.301
  [Host]     : .NET Core 3.1.5 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.27001), X64 RyuJIT
  DefaultJob : .NET Core 3.1.5 (CoreCLR 4.700.20.26901, CoreFX 4.700.20.27001), X64 RyuJIT


|          Method |      Mean |    Error |   StdDev |
|---------------- |----------:|---------:|---------:|
|    MapWithJitex |  11.07 ns | 0.095 ns | 0.089 ns |
| MapWithoutJitex | 105.64 ns | 0.342 ns | 0.286 ns |

// * Hints *
Outliers
  BenchmarkAutoMapper.MapWithJitex: Default    -> 3 outliers were detected (10.91 ns..10.93 ns)
  BenchmarkAutoMapper.MapWithoutJitex: Default -> 2 outliers were removed (110.42 ns, 110.87 ns)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:41 (42 sec), executed benchmarks: 2

Global total time: 00:00:46 (46.45 sec), executed benchmarks: 2
// * Artifacts cleanup *
